competencia,funcionario_id,salario_bruto,bonus,descontos,salario_liquido
2025-01,426,4781.89,1411.11,1314.85,4878.15
2025-01,637,3417.25,0.0,920.29,2496.96
2025-01,29,5277.32,417.94,1209.65,4485.61
2025-01,121,5025.06,1179.74,1296.35,4908.45
2025-01,494,4733.83,490.66,1156.38,4068.11
2025-01,230,4175.41,694.68,835.42,4034.67
2025-01,625,5984.91,0.0,231.76,5753.15
2025-01,32,4075.06,213.86,526.47,3762.45
2025-01,468,3463.17,286.37,682.8,3066.74
2025-01,639,8083.16,143.14,1985.33,6240.97
2025-01,122,4688.84,0.0,163.33,4525.51
2025-01,322,3118.3,140.04,522.66,2735.68
2025-01,74,3079.9,467.14,503.96,3043.08
2025-01,405,6527.4,526.75,144.08,6910.07
2025-01,392,7986.7,644.8,962.09,7669.41
2025-01,513,3076.36,0.0,673.93,2402.43
2025-01,564,3931.07,669.76,1093.84,3506.99
2025-01,222,4293.32,50.9,916.19,3428.03
2025-01,50,7631.77,439.13,177.55,7893.35
2025-01,255,4847.08,310.03,1274.48,3882.63
2025-01,147,4092.04,0.0,1141.0,2951.04
2025-01,551,8974.56,0.0,1173.69,7800.87
2025-01,81,4496.66,134.77,667.23,3964.2
2025-01,256,9248.76,1141.62,1977.88,8412.5
2025-01,474,3460.84,469.73,745.3,3185.27
2025-01,331,4238.85,389.87,627.53,4001.19
2025-01,207,11951.87,894.82,2804.82,10041.87
2025-01,531,3323.54,330.28,438.22,3215.6
2025-01,94,5259.51,609.55,1333.0,4536.06
2025-01,100,2699.6,346.34,591.41,2454.53
2025-01,181,4564.19,974.0,690.63,4847.56
2025-01,83,4791.08,740.46,797.12,4734.42
2025-01,553,4806.43,0.0,626.07,4180.36
2025-01,139,5922.38,266.48,1382.27,4806.59
2025-01,307,8232.16,1551.73,2120.58,7663.31
2025-01,560,7466.79,0.0,2060.13,5406.66
2025-01,422,14469.65,907.75,334.46,15042.94
2025-01,483,4786.42,475.16,618.36,4643.22
2025-01,410,3414.69,341.94,586.37,3170.26
2025-01,183,4451.47,605.5,125.23,4931.74
2025-01,47,3664.92,382.21,458.79,3588.34
2025-01,363,3765.94,609.05,804.94,3570.05
2025-01,358,3737.33,65.85,984.43,2818.75
