nfe_id,dh_emissao,modelo,serie,numero,emitente_id,destinatario_id,uf_origem,uf_destino,status,frete,desconto,outros,total_produtos,v_icms,v_pis,v_cofins,v_ipi,total_nfe
1,2025-07-13,55,1,22977,16,239,PR,BA,AUTORIZADA,33.37,3.44,48.53,12570.25,2262.65,207.41000000000003,955.3399999999999,428.66,13077.37
2,2025-02-24,55,1,75772,7,3913,DF,PE,AUTORIZADA,67.02,18.45,15.73,5277.3,949.91,87.08,401.08,196.6,5538.2
3,2025-10-29,65,2,64432,1,81,MG,PR,CANCELADA,0.0,113.17,35.16,0.0,0.0,0.0,0.0,0.0,-78.01
4,2025-08-03,55,4,38559,1,2665,MG,SP,AUTORIZADA,125.64,1.64,40.95,7934.23,1428.17,130.92000000000002,603.0,0.0,8099.18
5,2025-08-21,55,4,36253,14,3650,PE,GO,AUTORIZADA,54.69,3.18,20.04,23439.510000000002,3984.71,386.76,1781.4,777.1,24288.16
6,2025-09-01,55,1,24435,4,336,DF,SC,DENEGADA,163.38,117.48,41.42,0.0,0.0,0.0,0.0,0.0,87.32
7,2025-08-29,55,5,71562,18,746,SC,RJ,AUTORIZADA,24.23,103.99,17.68,38202.91,7640.59,630.3499999999999,2903.42,260.02,38400.85
8,2025-04-05,65,1,50996,22,320,PE,RJ,AUTORIZADA,0.0,58.43,32.28,27442.2,5488.4400000000005,452.78999999999996,2085.61,142.34,27558.39
9,2025-04-17,65,2,81377,3,3157,MG,BA,AUTORIZADA,0.0,8.36,34.51,21514.39,3872.58,354.97,1635.08,135.82,21676.36
10,2025-12-14,55,1,47458,5,2696,PE,RS,AUTORIZADA,40.11,118.07,37.1,14344.75,2582.06,236.69,1090.2,60.03,14363.92
11,2025-01-06,55,1,93663,8,535,SC,SC,AUTORIZADA,89.65,111.64,39.98,22795.85,3875.2799999999997,376.13,1732.48,703.55,23517.39
12,2025-03-31,55,1,85098,25,1429,CE,CE,AUTORIZADA,162.27,61.51,48.08,32129.78,5783.360000000001,530.14,2441.86,408.39,32687.01
13,2025-06-21,55,4,89413,9,1830,BA,SC,AUTORIZADA,148.17,87.34,19.72,21987.61,3737.8999999999996,362.78999999999996,1671.06,74.4,22142.56
14,2025-02-03,65,5,87638,24,15,SP,PE,AUTORIZADA,0.0,26.55,41.12,9074.01,1633.32,149.72,689.6299999999999,355.63,9444.21
