venda_id,data,cliente_id,canal,loja,forma_pagamento,cupom,frete,status
1,2025-09-05,1030,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
2,2025-01-05,1473,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
3,2025-04-07,177,Online,E-commerce,Cartão Crédito,SEM_CUPOM,10.72,Concluída
4,2025-10-13,767,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
5,2025-09-27,506,Presencial,Loja 01 - Centro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
6,2025-10-12,179,Online,E-commerce,Cartão Crédito,SEM_CUPOM,49.5,Concluída
7,2025-03-31,73,Presencial,Loja 01 - Centro,Cartão Débito,SEM_CUPOM,0.0,Concluída
8,2025-04-06,972,Online,E-commerce,Dinheiro,FRETEGRATIS,40.43,Concluída
9,2025-03-22,980,Presencial,Loja 02 - Shopping,PIX,SEM_CUPOM,0.0,Concluída
10,2025-09-25,843,Presencial,Loja 02 - Shopping,Cartão Crédito,SEM_CUPOM,0.0,Devolvida
11,2025-01-05,1010,Presencial,Loja 03 - Bairro,PIX,SEM_CUPOM,0.0,Concluída
12,2025-11-09,1079,Online,E-commerce,PIX,PROMO10,14.15,Concluída
13,2025-04-19,87,Presencial,Loja 03 - Bairro,Dinheiro,SEM_CUPOM,0.0,Devolvida
14,2025-07-07,52,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
15,2025-04-05,504,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
16,2025-06-13,853,Online,E-commerce,Cartão Crédito,FRETEGRATIS,23.9,Concluída
17,2025-10-21,1355,Online,E-commerce,PIX,SEM_CUPOM,20.11,Concluída
18,2025-03-18,1470,Presencial,Loja 03 - Bairro,Cartão Crédito,SEM_CUPOM,0.0,Concluída
19,2025-08-07,1241,Presencial,Loja 03 - Bairro,Dinheiro,SEM_CUPOM,0.0,Concluída
20,2025-01-22,437,Presencial,Loja 02 - Shopping,Cartão Débito,SEM_CUPOM,0.0,Concluída
21,2025-03-10,862,Online,E-commerce,Cartão Crédito,SEM_CUPOM,42.41,Concluída
22,2025-09-20,175,Online,E-commerce,Cartão Débito,SEM_CUPOM,21.48,Concluída
23,2025-08-07,727,Online,E-commerce,Boleto,FRETEGRATIS,49.96,Concluída
24,2025-08-23,149,Online,E-commerce,PIX,SEM_CUPOM,45.17,Concluída
25,2025-03-28,1490,Presencial,Loja 03 - Bairro,Cartão Débito,SEM_CUPOM,0.0,Concluída
26,2025-03-21,677,Online,E-commerce,Cartão Crédito,SEM_CUPOM,15.77,Concluída
27,2025-06-13,1084,Online,E-commerce,Cartão Débito,SEM_CUPOM,21.05,Devolvida
28,2025-02-19,157,Presencial,Loja 01 - Centro,PIX,SEM_CUPOM,0.0,Concluída
29,2025-12-08,1429,Online,E-commerce,Cartão Débito,SEM_CUPOM,35.71,Concluída
30,2025-04-13,787,Presencial,Loja 03 - Bairro,Boleto,SEM_CUPOM,0.0,Cancelada
