data,funcionario_id,status,horas_trabalhadas,horas_extras,remoto
2025-09-22,173,PRESENTE,8.14,0.0,0
2025-09-22,157,PRESENTE,8.16,0.35,0
2025-09-22,259,PRESENTE,7.67,0.64,0
2025-09-22,637,PRESENTE,7.83,1.31,1
2025-09-22,399,PRESENTE,7.7,0.9,0
2025-09-22,320,PRESENTE,7.7,0.47,0
2025-09-22,471,PRESENTE,7.8,0.0,0
2025-09-22,459,PRESENTE,7.98,0.78,0
2025-09-22,401,PRESENTE,8.51,0.35,0
2025-09-22,453,PRESENTE,7.95,1.08,1
2025-09-22,249,PRESENTE,8.48,0.4,1
2025-09-22,430,PRESENTE,8.62,0.0,0
2025-09-22,96,ATESTADO,0.0,0.0,0
2025-09-22,433,PRESENTE,8.2,0.59,0
2025-09-22,36,FÉRIAS,0.0,0.0,0
2025-09-22,294,PRESENTE,8.61,0.25,0
2025-09-22,444,PRESENTE,7.51,0.69,1
2025-09-22,563,PRESENTE,7.37,0.24,0
2025-09-22,177,PRESENTE,7.82,0.63,0
2025-09-22,410,PRESENTE,8.58,0.53,0
2025-09-22,103,PRESENTE,7.62,1.21,0
2025-09-22,609,PRESENTE,7.36,0.63,0
2025-09-22,91,ATRASO,8.64,0.0,1
2025-09-22,455,PRESENTE,7.37,0.0,0
2025-09-22,244,ATESTADO,0.0,0.0,0
2025-09-22,590,PRESENTE,8.1,0.15,0
2025-09-22,506,PRESENTE,8.32,0.0,1
2025-09-22,297,PRESENTE,7.87,0.87,0
2025-09-22,385,PRESENTE,8.59,1.49,0
2025-09-22,215,PRESENTE,8.82,1.11,0
2025-09-22,501,PRESENTE,8.61,0.85,0
2025-09-22,625,PRESENTE,6.98,0.0,0
2025-09-22,219,PRESENTE,8.13,0.44,0
2025-09-22,603,FÉRIAS,0.0,0.0,0
2025-09-22,451,PRESENTE,8.06,0.22,0
2025-09-22,158,PRESENTE,7.83,0.0,0
2025-09-22,292,PRESENTE,7.46,0.71,1
2025-09-22,445,PRESENTE,8.38,0.76,0
2025-09-22,538,ATRASO,6.45,0.0,1
2025-09-22,42,PRESENTE,7.54,0.72,1
