item_id,venda_id,produto_id,quantidade,preco_unitario,desconto_unit,preco_liquido_unit,valor_total,uf_destino,cfop,cst_icms,aliq_icms,valor_icms,aliq_pis,valor_pis,aliq_cofins,valor_cofins,custo_total,lucro_bruto
1,1,26,2.0,1621.62,182.14,1439.48,2878.96,MT,6102,00,0.17,489.42,0.0165,47.5,0.076,218.8,1967.94,911.02
2,1,83,2.0,1240.0,194.62,1045.38,2090.76,MT,6102,00,0.17,355.43,0.0165,34.5,0.076,158.9,1923.72,167.04
3,1,120,2.0,743.44,25.28,718.16,1436.32,MT,6102,00,0.17,244.17,0.0165,23.7,0.076,109.16,1114.06,322.26
4,1,121,1.0,2276.78,222.2,2054.58,2054.58,MT,6102,00,0.17,349.28,0.0165,33.9,0.076,156.15,1730.49,324.09
5,1,169,1.0,3147.57,20.41,3127.16,3127.16,MT,6102,00,0.17,531.62,0.0165,51.6,0.076,237.66,2628.55,498.61
6,1,197,2.0,880.83,119.08,761.75,1523.5,MT,6102,20,0.17,259.0,0.0165,25.14,0.076,115.79,1561.5,-38.0
7,2,216,1.0,805.3,54.66,750.64,750.64,PA,6102,60,0.17,127.61,0.0165,12.39,0.076,57.05,572.91,177.73
8,2,133,2.0,1644.61,40.55,1604.06,3208.12,PA,6102,00,0.17,545.38,0.0165,52.93,0.076,243.82,2738.64,469.48
9,2,107,1.0,236.45,12.93,223.52,223.52,PA,6102,40,0.17,38.0,0.0165,3.69,0.076,16.99,210.65,12.87
10,2,224,2.0,1099.77,174.86,924.91,1849.82,PA,6102,40,0.17,314.47,0.0165,30.52,0.076,140.59,1277.14,572.68
11,2,37,1.0,4105.74,798.15,3307.59,3307.59,PA,6102,60,0.17,562.29,0.0165,54.58,0.076,251.38,3173.03,134.56
12,2,271,2.0,2084.24,5.02,2079.22,4158.44,PA,6102,00,0.17,706.93,0.0165,68.61,0.076,316.04,3148.06,1010.38
13,3,149,2.0,336.26,39.22,297.04,594.08,MG,6102,60,0.18,106.93,0.0165,9.8,0.076,45.15,518.14,75.94
14,3,188,1.0,3978.21,374.02,3604.19,3604.19,MG,6102,00,0.18,648.75,0.0165,59.47,0.076,273.92,3390.41,213.78
15,3,39,1.0,8067.29,750.9,7316.39,7316.39,MG,6102,00,0.18,1316.95,0.0165,120.72,0.076,556.05,6097.23,1219.16
16,3,27,1.0,589.28,0.37,588.91,588.91,MG,5102,00,0.18,106.0,0.0165,9.72,0.076,44.76,419.48,169.43
17,4,30,2.0,875.44,81.24,794.2,1588.4,AM,6102,00,0.18,285.91,0.0165,26.21,0.076,120.72,1215.2,373.2
18,4,119,2.0,705.52,69.2,636.32,1272.64,AM,6102,60,0.18,229.08,0.0165,21.0,0.076,96.72,1126.94,145.7
19,4,220,2.0,418.63,27.42,391.21,782.42,AM,6102,00,0.18,140.84,0.0165,12.91,0.076,59.46,630.58,151.84
20,4,288,3.0,781.57,120.73,660.84,1982.52,AM,6102,00,0.18,356.85,0.0165,32.71,0.076,150.67,1812.72,169.8
21,4,183,2.0,519.74,0.66,519.08,1038.16,AM,6102,20,0.18,186.87,0.0165,17.13,0.076,78.9,796.72,241.44
22,4,129,2.0,3361.16,601.97,2759.19,5518.38,AM,6102,00,0.18,993.31,0.0165,91.05,0.076,419.4,5199.94,318.44
23,5,160,2.0,5353.35,390.19,4963.16,9926.32,SC,6102,00,0.17,1687.47,0.0165,163.78,0.076,754.4,9470.04,456.28
24,5,51,1.0,3183.35,59.85,3123.5,3123.5,SC,6102,60,0.17,531.0,0.0165,51.54,0.076,237.39,1996.91,1126.59
25,5,51,2.0,3187.56,245.34,2942.22,5884.44,SC,6102,20,0.17,1000.35,0.0165,97.09,0.076,447.22,3993.82,1890.62
26,5,258,1.0,2389.59,184.91,2204.68,2204.68,SC,6102,00,0.17,374.8,0.0165,36.38,0.076,167.56,2013.6,191.08
27,5,277,2.0,4573.04,185.95,4387.09,8774.18,SC,6102,60,0.17,1491.61,0.0165,144.77,0.076,666.84,7750.26,1023.92
28,5,252,1.0,263.9,32.53,231.37,231.37,SC,6102,60,0.17,39.33,0.0165,3.82,0.076,17.58,261.67,-30.3
29,6,259,2.0,2801.15,364.33,2436.82,4873.64,RS,6102,20,0.18,877.26,0.0165,80.42,0.076,370.4,4093.26,780.38
30,7,218,2.0,1204.96,194.96,1010.0,2020.0,BA,6102,20,0.18,363.6,0.0165,33.33,0.076,153.52,2097.2,-77.2
31,8,253,1.0,610.15,92.26,517.89,517.89,MT,6102,60,0.17,88.04,0.0165,8.55,0.076,39.36,414.89,103.0
32,8,15,1.0,402.12,63.36,338.76,338.76,MT,6102,00,0.17,57.59,0.0165,5.59,0.076,25.75,287.29,51.47
33,8,20,1.0,1210.79,114.5,1096.29,1096.29,MT,6102,00,0.17,186.37,0.0165,18.09,0.076,83.32,777.69,318.6
34,8,269,1.0,4974.78,177.19,4797.59,4797.59,MT,6102,00,0.17,815.59,0.0165,79.16,0.076,364.62,3964.38,833.21
35,8,22,2.0,8116.13,718.0,7398.13,14796.26,MT,6102,00,0.17,2515.36,0.0165,244.14,0.076,1124.52,12451.02,2345.24
36,9,78,2.0,201.37,1.72,199.65,399.3,ES,6102,60,0.17,67.88,0.0165,6.59,0.076,30.35,279.32,119.98
37,10,142,-4.0,748.81,125.77,623.04,-2492.16,DF,6102,00,0.18,-448.59,0.0165,-41.12,0.076,-189.4,-2402.12,-90.04
38,10,158,-1.0,894.02,98.03,795.99,-795.99,DF,6102,00,0.18,-143.28,0.0165,-13.13,0.076,-60.5,-665.06,-130.93
39,10,87,-1.0,429.64,68.43,361.21,-361.21,DF,6102,40,0.18,-65.02,0.0165,-5.96,0.076,-27.45,-296.38,-64.83
40,10,267,-2.0,2648.29,81.34,2566.95,-5133.9,DF,6102,00,0.18,-924.1,0.0165,-84.71,0.076,-390.18,-3581.68,-1552.22
41,10,101,-4.0,1088.72,29.36,1059.36,-4237.44,DF,6102,60,0.18,-762.74,0.0165,-69.92,0.076,-322.05,-3267.04,-970.4
42,11,236,2.0,6919.62,17.75,6901.87,13803.74,PR,6102,60,0.19,2622.71,0.0165,227.76,0.076,1049.08,10552.68,3251.06
43,11,213,1.0,4583.2,424.25,4158.95,4158.95,PR,6102,60,0.19,790.2,0.0165,68.62,0.076,316.08,3128.86,1030.09
44,11,15,1.0,426.24,57.66,368.58,368.58,PR,6102,00,0.19,70.03,0.0165,6.08,0.076,28.01,287.29,81.29
45,11,281,1.0,3250.44,526.68,2723.76,2723.76,PR,6102,00,0.19,517.51,0.0165,44.94,0.076,207.01,2324.0,399.76
46,11,63,2.0,2142.39,161.24,1981.15,3962.3,PR,6102,00,0.19,752.84,0.0165,65.38,0.076,301.13,2731.28,1231.02
47,11,181,3.0,490.12,50.35,439.77,1319.31,PR,6102,20,0.19,250.67,0.0165,21.77,0.076,100.27,1170.72,148.59
48,12,181,3.0,474.73,19.1,455.63,1366.89,BA,6102,00,0.18,246.04,0.0165,22.55,0.076,103.88,1170.72,196.17
49,12,9,2.0,4087.71,191.59,3896.12,7792.24,BA,6102,60,0.18,1402.6,0.0165,128.57,0.076,592.21,6469.78,1322.46
50,12,292,2.0,1456.01,129.32,1326.69,2653.38,BA,6102,60,0.0,0.0,0.0165,43.78,0.076,201.66,2468.74,184.64
51,13,13,-1.0,1097.44,358.02,739.42,-739.42,SP,5102,00,0.18,-133.1,0.0165,-12.2,0.076,-56.2,-773.98,34.56
52,13,130,-1.0,1301.76,444.59,857.17,-857.17,SP,6102,00,0.18,-154.29,0.0165,-14.14,0.076,-65.14,-1104.16,246.99
53,14,70,2.0,847.02,1.43,845.59,1691.18,PE,6102,60,0.18,304.41,0.0165,27.9,0.076,128.53,1164.28,526.9
54,14,63,1.0,2342.8,212.61,2130.19,2130.19,PE,6102,20,0.18,383.43,0.0165,35.15,0.076,161.89,1365.64,764.55
55,14,3,2.0,2784.23,263.99,2520.24,5040.48,PE,6102,00,0.18,907.29,0.0165,83.17,0.076,383.08,4637.68,402.8
56,14,38,2.0,312.68,5.8,306.88,613.76,PE,6102,00,0.18,110.48,0.0165,10.13,0.076,46.65,469.36,144.4
57,14,42,1.0,5938.67,391.7,5546.97,5546.97,PE,6102,00,0.18,998.45,0.0165,91.53,0.076,421.57,3892.34,1654.63
58,14,201,1.0,1809.41,69.16,1740.25,1740.25,PE,6102,00,0.18,313.24,0.0165,28.71,0.076,132.26,1606.56,133.69
59,15,16,1.0,5314.75,569.65,4745.1,4745.1,DF,6102,00,0.18,854.12,0.0165,78.29,0.076,360.63,3883.03,862.07
60,15,163,2.0,6224.19,972.49,5251.7,10503.4,DF,6102,00,0.18,1890.61,0.0165,173.31,0.076,798.26,9031.12,1472.28
61,15,84,2.0,1845.2,226.17,1619.03,3238.06,DF,6102,40,0.18,582.85,0.0165,53.43,0.076,246.09,3052.64,185.42
62,16,11,4.0,633.45,87.41,546.04,2184.16,SP,6102,60,0.18,393.15,0.0165,36.04,0.076,166.0,2082.68,101.48
63,16,14,2.0,1446.15,201.62,1244.53,2489.06,SP,5102,00,0.18,448.03,0.0165,41.07,0.076,189.17,2364.16,124.9
64,17,251,2.0,1626.99,1.49,1625.5,3251.0,PR,6102,00,0.19,617.69,0.0165,53.64,0.076,247.08,2406.12,844.88
65,17,274,2.0,644.9,58.23,586.67,1173.34,PR,6102,20,0.19,222.93,0.0165,19.36,0.076,89.17,1066.6,106.74
66,17,186,1.0,845.76,44.27,801.49,801.49,PR,6102,00,0.19,152.28,0.0165,13.22,0.076,60.91,776.17,25.32
67,17,157,2.0,7496.48,953.94,6542.54,13085.08,PR,6102,00,0.19,2486.17,0.0165,215.9,0.076,994.47,12545.7,539.38
68,18,71,1.0,4476.75,655.71,3821.04,3821.04,GO,6102,00,0.17,649.58,0.0165,63.05,0.076,290.4,3696.21,124.83
69,18,259,2.0,3068.24,115.55,2952.69,5905.38,GO,6102,00,0.17,1003.91,0.0165,97.44,0.076,448.81,4093.26,1812.12
70,18,148,3.0,531.12,88.62,442.5,1327.5,GO,6102,20,0.17,225.68,0.0165,21.9,0.076,100.89,1424.43,-96.93
71,19,204,2.0,2896.62,467.33,2429.29,4858.58,MS,6102,00,0.17,825.96,0.0165,80.17,0.076,369.25,3810.54,1048.04
72,19,236,1.0,6632.15,951.54,5680.61,5680.61,MS,6102,60,0.17,965.7,0.0165,93.73,0.076,431.73,5276.34,404.27
73,19,139,2.0,6470.11,1049.5,5420.61,10841.22,MS,6102,00,0.17,1843.01,0.0165,178.88,0.076,823.93,8415.42,2425.8
74,19,99,2.0,3963.17,10.81,3952.36,7904.72,MS,6102,00,0.17,1343.8,0.0165,130.43,0.076,600.76,5885.94,2018.78
75,19,140,2.0,3155.5,160.18,2995.32,5990.64,MS,6102,00,0.17,1018.41,0.0165,98.85,0.076,455.29,5579.86,410.78
76,20,269,1.0,5376.26,87.1,5289.16,5289.16,RS,6102,60,0.18,952.05,0.0165,87.27,0.076,401.98,3964.38,1324.78
77,20,217,2.0,1459.77,261.9,1197.87,2395.74,RS,6102,00,0.18,431.23,0.0165,39.53,0.076,182.08,1974.72,421.02
78,20,208,1.0,941.3,67.64,873.66,873.66,RS,6102,60,0.18,157.26,0.0165,14.42,0.076,66.4,754.22,119.44
79,20,97,2.0,809.01,134.74,674.27,1348.54,RS,6102,00,0.18,242.74,0.0165,22.25,0.076,102.49,1134.84,213.7
80,20,97,4.0,783.91,81.63,702.28,2809.12,RS,6102,40,0.18,505.64,0.0165,46.35,0.076,213.49,2269.68,539.44
81,20,160,1.0,5113.98,792.58,4321.4,4321.4,RS,6102,00,0.18,777.85,0.0165,71.3,0.076,328.43,4735.02,-413.62
82,21,9,2.0,4190.8,184.06,4006.74,8013.48,MT,6102,20,0.17,1362.29,0.0165,132.22,0.076,609.02,6469.78,1543.7
83,21,36,2.0,1332.14,26.77,1305.37,2610.74,MT,6102,00,0.17,443.83,0.0165,43.08,0.076,198.42,2247.5,363.24
84,22,167,2.0,1696.15,37.58,1658.57,3317.14,MS,6102,60,0.17,563.91,0.0165,54.73,0.076,252.1,2513.84,803.3
85,22,236,1.0,6883.27,928.48,5954.79,5954.79,MS,6102,00,0.0,0.0,0.0165,98.25,0.076,452.56,5276.34,678.45
86,23,115,2.0,3960.75,306.18,3654.57,7309.14,MG,5102,20,0.18,1315.65,0.0165,120.6,0.076,555.49,6804.98,504.16
87,23,99,1.0,3916.74,191.82,3724.92,3724.92,MG,5102,60,0.18,670.49,0.0165,61.46,0.076,283.09,2942.97,781.95
88,23,211,2.0,1784.57,232.22,1552.35,3104.7,MG,5102,60,0.18,558.85,0.0165,51.23,0.076,235.96,2619.9,484.8
89,23,54,2.0,617.48,28.94,588.54,1177.08,MG,5102,00,0.18,211.87,0.0165,19.42,0.076,89.46,877.34,299.74
90,23,30,1.0,734.32,114.13,620.19,620.19,MG,5102,00,0.18,111.63,0.0165,10.23,0.076,47.13,607.6,12.59
91,23,223,2.0,965.01,14.11,950.9,1901.8,MG,5102,60,0.18,342.32,0.0165,31.38,0.076,144.54,1284.56,617.24
92,24,149,2.0,364.26,21.06,343.2,686.4,BA,6102,00,0.18,123.55,0.0165,11.33,0.076,52.17,518.14,168.26
93,24,28,2.0,5143.24,266.66,4876.58,9753.16,BA,6102,00,0.18,1755.57,0.0165,160.93,0.076,741.24,7571.8,2181.36
94,24,192,2.0,3618.42,595.28,3023.14,6046.28,BA,6102,00,0.18,1088.33,0.0165,99.76,0.076,459.52,5949.4,96.88
95,24,286,4.0,416.76,34.78,381.98,1527.92,BA,6102,60,0.18,275.03,0.0165,25.21,0.076,116.12,1385.56,142.36
96,24,107,2.0,231.15,25.6,205.55,411.1,BA,6102,00,0.18,74.0,0.0165,6.78,0.076,31.24,421.3,-10.2
97,24,207,2.0,5442.83,850.97,4591.86,9183.72,BA,6102,00,0.18,1653.07,0.0165,151.53,0.076,697.96,8544.82,638.9
98,25,211,1.0,1721.45,226.2,1495.25,1495.25,SP,5102,00,0.18,269.14,0.0165,24.67,0.076,113.64,1309.95,185.3
99,25,223,1.0,967.72,70.79,896.93,896.93,SP,6102,40,0.18,161.45,0.0165,14.8,0.076,68.17,642.28,254.65
100,25,143,3.0,769.4,59.53,709.87,2129.61,SP,5102,00,0.18,383.33,0.0165,35.14,0.076,161.85,2026.35,103.26
101,25,25,2.0,6966.94,1126.81,5840.13,11680.26,SP,5102,60,0.18,2102.45,0.0165,192.72,0.076,887.7,9276.84,2403.42
